Al,As,B,Co,Cu,Fe,Ge,Ni,S,Sb,Se,Sn,Te,Ti,Y,Zr,BulkModulus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,12740000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,21.0,0.0,0.0,0.0,10570000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,17.0,0.0,0.0,0.0,11470000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,14.0,0.0,0.0,0.0,9970000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,6.8,0.0,0.0,0.0,9870000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9392500000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,9390000000.0
0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.3,56.0,0.0,37.4,0.0,0.0,0.0,12820000000.0
0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.3,93.4,0.0,0.0,0.0,0.0,0.0,10210000000.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,47000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,16.68,45.95,0.0,30.67,0.0,0.0,0.0,16930000000.0
0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,16.68,76.62,0.0,0.0,0.0,0.0,0.0,14060000000.0
0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,6.7,52.0,0.0,34.6,0.0,0.0,0.0,13660000000.0
0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,6.7,86.59999999999998,0.0,0.0,0.0,0.0,0.0,13020000000.0
0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,26.7,66.6,0.0,0.0,0.0,0.0,0.0,15980000000.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,39400000000.0
0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,5.11,61.14,0.0,25.18,0.0,0.0,0.0,13660000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,54.0,0.0,36.0,0.0,0.0,0.0,12780000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,75.0,0.0,15.0,0.0,0.0,0.0,12860000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,10415000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,48.0,0.0,32.0,0.0,0.0,0.0,15920000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,11870000000.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,15910000000.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,41100000000.0
0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,15800000000.0
0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,3.3,50.05,0.0,33.37,0.0,0.0,0.0,13460000000.0
0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,3.3,83.42,0.0,0.0,0.0,0.0,0.0,11760000000.0
0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,13.3,44.0,0.0,29.4,0.0,0.0,0.0,17230000000.0
0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,13.3,73.4,0.0,0.0,0.0,0.0,0.0,13810000000.0
0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,23.3,63.4,0.0,0.0,0.0,0.0,0.0,15650000000.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,49200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,51.0,0.0,34.0,0.0,0.0,0.0,14170000000.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,11060000000.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,13600000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,41800000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,20.0,63.33,0.0,0.0,0.0,0.0,0.0,15700000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000000000.0
